GeneID	HHCCZ	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCGC	HHCGS
jgi.p|Neosp1|458806	295	189	110	153	530	656	138	506	198	313	353	232	264	296	391	133	328	158
jgi.p|Neosp1|458819	0	0	1	0	0	0	0	1	1	1	0	3	0	1	0	0	2	5
jgi.p|Neosp1|458834	3	0	0	0	0	0	0	2	2	0	0	5	3	0	0	1	7	21
jgi.p|Neosp1|458855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19
jgi.p|Neosp1|458866	68	1070	454	806	180	210	117	394	172	170	197	496	289	336	432	411	115	64
jgi.p|Neosp1|458899	117	100	82	123	166	295	70	177	69	144	128	83	106	184	223	77	74	45
jgi.p|Neosp1|458908	20	13	6	8	2	3	5	21	11	12	34	31	50	66	47	2	151	86
jgi.p|Neosp1|458915	9	189	51	121	29	81	137	518	222	294	318	195	445	284	214	237	11	8
jgi.p|Neosp1|458946	87	107	51	73	134	143	33	108	36	80	76	69	92	96	82	51	122	148
jgi.p|Neosp1|458950	269	30	52	72	163	197	56	232	128	279	177	49	53	146	161	49	59	42
jgi.p|Neosp1|458954	76	114	88	82	186	182	78	254	93	161	156	93	88	142	180	66	29	18
jgi.p|Neosp1|458990	8	21	3	2	1	0	1	17	11	6	3	22	21	9	6	4	2	8
jgi.p|Neosp1|459028	4	53	46	51	54	50	41	218	106	91	133	381	85	87	84	58	1	3
jgi.p|Neosp1|459042	31	91	71	90	174	203	98	238	116	208	159	91	95	177	268	77	17	17
jgi.p|Neosp1|459085	54	20	10	14	0	11	3	18	17	2	24	22	157	11	10	25	492	334
jgi.p|Neosp1|459086	1595	3785	1994	2837	3101	3052	1045	3490	1359	1987	2021	1735	1607	2735	2926	1222	1634	647
jgi.p|Neosp1|459134	55	55	27	39	80	139	23	113	37	50	68	45	57	55	76	35	69	23
jgi.p|Neosp1|459147	2764	4966	2714	4144	5510	6024	2558	8024	2971	4845	4707	2268	2929	5043	5647	1844	1963	687
